epoch,step,train_loss,val_acc,val_f1,val_loss
0,999,,0.8059999942779541,6.167843301178597e+31,0.43335384130477905
0,999,0.49210432171821594,,,
1,1999,,0.8395000100135803,2.9748876637775993e+31,0.38542354106903076
1,1999,0.39180049300193787,,,
2,2999,,0.8535000085830688,2.753084109371592e+31,0.36422428488731384
2,2999,0.35832634568214417,,,
3,3999,,0.8550000190734863,1.9143738090192306e+31,0.3584190607070923
3,3999,0.3476228415966034,,,
4,4999,,0.8569999933242798,1.5561262926934016e+31,0.35546794533729553
4,4999,0.34355923533439636,,,
5,5999,,0.8569999933242798,1.2344450347408744e+31,0.35314613580703735
5,5999,0.34113186597824097,,,
6,6999,,0.8575000166893005,2.703035547580202e+31,0.3516082465648651
6,6999,0.3392001688480377,,,
7,7999,,0.8585000038146973,3.3469253969277723e+31,0.3502371311187744
7,7999,0.3377242088317871,,,
8,8999,,0.8575000166893005,6.890465169884062e+31,0.3494139611721039
8,8999,0.3361704349517822,,,
9,9999,,0.8585000038146973,1.867916361375006e+31,0.34859490394592285
9,9999,0.33474844694137573,,,
10,10999,,0.8560000061988831,1.1945072031492494e+31,0.34821829199790955
10,10999,0.3334448039531708,,,
11,11999,,0.8544999957084656,1.543630472744119e+31,0.34770792722702026
11,11999,0.33234354853630066,,,
12,12999,,0.8539999723434448,1.8255277953618582e+31,0.34774184226989746
12,12999,0.331546425819397,,,
13,13999,,0.8529999852180481,5.323644114927439e+31,0.34774136543273926
13,13999,0.33084753155708313,,,
14,14999,,0.8539999723434448,1.867916361375006e+31,0.34765201807022095
14,14999,0.3302253484725952,,,
15,15999,,0.8539999723434448,1.5460810862730598e+31,0.347837895154953
15,15999,0.32967981696128845,,,
16,16999,,0.8550000190734863,9.002681381779374e+30,0.3479272723197937
16,16999,0.32917627692222595,,,
17,17999,,0.8554999828338623,1.827978408890799e+31,0.34801146388053894
17,17999,0.32874754071235657,,,
18,18999,,0.8550000190734863,1.2344450347408744e+31,0.34826529026031494
18,18999,0.32825538516044617,,,
19,19999,,0.8550000190734863,1.5312887908368371e+31,0.3481195867061615
19,19999,0.32782721519470215,,,
